Time,Live_Cells,live_cell_count_std,live_cell_count_min,live_cell_count_max,live_cell_count_count,Sum_Dead_Cells,sum_dead_cell_count_std,sum_dead_cell_count_min,sum_dead_cell_count_max,sum_dead_cell_count_count
0.0,511.0,0.0,511,511,5,,,,,0
240.0,581.4,6.767569726275451,571,590,5,,,,,0
480.0,621.4,4.335896677735768,614,624,5,,,,,0
720.0,651.8,7.854934754662204,642,664,5,,,,,0
960.0,693.4,8.080841540334774,680,702,5,,,,,0
1200.0,725.0,9.591663046625438,709,735,5,,,,,0
1440.0,767.6,9.099450532861857,752,776,5,,,,,0
1680.0,803.0,14.764823060233407,777,811,5,,,,,0
1920.0,847.6,14.081903280451819,823,859,5,,,,,0
2160.0,890.0,10.606601717798213,875,905,5,,,,,0
2400.0,930.4,6.066300355241244,920,936,5,,,,,0
2640.0,974.0,8.246211251235328,968,984,5,,,,,0
2880.0,1006.4,14.258330898110062,996,1023,5,,,,,0
3120.0,1059.4,13.107249902248746,1050,1077,5,,,,,0
3360.0,1110.8,9.549869109050665,1105,1127,5,,,,,0
3600.0,1164.0,7.874007874011813,1160,1178,5,,,,,0
3840.0,1206.2,21.35883891975404,1192,1240,5,,,,,0
4080.0,1261.4,23.0282435283284,1249,1302,5,,,,,0
4320.0,1314.6,24.835458522040646,1303,1359,5,,,,,0
4560.0,1365.6,28.227646023003782,1352,1416,5,,,,,0
4800.0,1421.2,32.383637843824765,1403,1479,5,,,,,0
5040.0,1478.8,38.18638500827227,1458,1547,5,,,,,0
5280.0,1517.4,42.48293775152558,1496,1593,5,,,,,0
5520.0,1589.2,27.77048793233564,1574,1638,5,,,,,0
5760.0,1650.2,31.26819470324437,1635,1706,5,,,,,0
6000.0,1704.4,30.162891108114927,1685,1758,5,,,,,0
6240.0,1766.6,28.38661656485326,1752,1817,5,,,,,0
6480.0,1831.4,19.79393846610622,1818,1862,5,,,,,0
6720.0,1889.6,22.501111083677653,1874,1923,5,,,,,0
6960.0,1961.6,29.305289624912454,1948,2014,5,,,,,0
7200.0,2027.6,29.888124732073795,2010,2079,5,1043.6,11.238327277669054,1036.0,1061.0,5
