Time,Healthy Epithelial Cells,epithelial_std,epithelial_min,epithelial_max,epithelial_count,Infected Epithelial Cells,epithelial_infected_std,epithelial_infected_min,epithelial_infected_max,epithelial_infected_count
0.0,250.0,0.0,250,250,5,20.0,0.0,20,20,5
360.0,244.4,0.5477225575051667,244,245,5,35.4,3.5777087639996634,31,38,5
720.0,221.6,5.272570530585624,213,225,5,70.6,4.669047011971503,65,78,5
1080.0,124.2,6.572670690061994,117,135,5,195.4,11.696153213770756,175,205,5
1440.0,74.0,10.099504938362077,68,92,5,296.4,16.30337388395421,270,315,5
1800.0,44.6,15.80506248010428,24,56,5,413.4,21.466252583997985,399,447,5
2160.0,11.8,7.661592523751182,0,17,5,561.4,22.864820139244483,546,597,5
2520.0,0.0,0.0,0,0,5,747.4,13.145341380123988,724,754,5
2880.0,0.0,0.0,0,0,5,955.8,33.677885919398214,902,978,5
